,TN,FP,TP,FN
10,159787,19716,12817,4672
18,180656,600,12015,3721
25,157083,4275,12158,1417
32,174799,156,20761,1276
33,185223,0,0,11769
35,196992,0,0,0
44,195682,0,0,1310
45,174345,596,19764,2287
46,135663,600,37959,711
49,195567,11013,19872,1833
59,133748,45912,14330,3002
69,103624,3447,56616,33305
76,94140,4392,8514,89946
77,144429,13630,36485,2448
79,219051,0,0,0
94,161607,14047,20767,571
106,183806,13186,0,0
117,177930,7550,11378,134
125,196992,0,0,0
137,174420,0,0,0
146,184983,0,0,12009
176,170953,0,0,3980
201,146604,2403,14435,33550
203,196992,0,0,0
205,196988,0,0,4
207,181147,367,14695,783
211,191716,0,0,659
237,49901,9209,75614,6351
248,196975,0,0,17
255,163449,11456,5,23
258,196992,0,0,0
259,195728,0,0,1264
263,38804,3226,153103,1859
268,168486,10885,15950,1671
284,164812,342,8069,23769
291,113159,2649,70509,7597
302,183353,151,12157,1331
304,181861,14885,246,0
306,109649,71944,12638,2761
307,164341,764,25666,6221
310,196094,0,0,898
326,217512,0,0,0
329,156484,468,29465,1341
338,147465,22800,4758,423
346,196988,0,0,4
351,127306,9039,31824,6764
355,196992,0,0,0
358,130622,0,0,44311
388,185357,0,0,11635
405,195322,0,0,1670
435,196992,0,0,0
444,135177,0,0,61815
445,155482,18443,692,316
451,174933,0,0,0
462,196992,0,0,0
476,143589,405,29996,943
477,180199,11590,4995,208
493,143160,27681,7110,60
506,162816,34176,0,0
509,153160,0,0,43319
539,196992,0,0,0
561,196992,0,0,0
580,184626,30,10412,1924
592,196992,0,0,0
603,174673,0,0,22319
611,192233,0,0,5785
616,153071,650,40762,2509
642,219912,129,16883,2134
643,159036,2964,32954,2038
651,141258,192,53788,1754
660,201111,24609,0,0
668,164650,524,24859,5933
685,110914,9962,74520,1596
710,111345,0,0,63588
724,179446,351,11391,5804
730,157238,14,8340,1646
733,156077,6802,16231,38915
746,196992,0,0,0
765,125446,5159,32616,33771
769,164849,32143,0,0
780,157055,561,16051,1779
792,87058,87875,0,0
814,139362,320,48544,8766
839,196992,0,0,0
843,146168,12246,37905,673
847,97015,13054,82809,4114
858,196992,0,0,0
862,188833,8159,0,0
875,101592,73341,0,0
877,191799,5193,0,0
880,199557,0,0,0
883,118492,292,74979,3229
894,165559,0,0,31433
900,161080,321,27590,8001
918,157785,2308,34182,2717
951,122094,2002,30792,2603
953,140990,796,50312,4894
960,196992,0,0,0
971,196930,0,0,62
1004,167141,830,27667,1354
1014,38688,157654,137,0
1032,195584,0,0,1408
1035,156256,4758,28862,7116
1045,74945,206,94465,5830
1052,147581,49411,0,0
1063,196992,0,0,0
1074,42800,154192,0,0
1092,199064,4597,0,0
1125,156127,10972,21345,8548
1149,196992,0,0,0
1179,150698,46294,0,0
1182,177893,19099,0,0
1186,196992,0,0,0
1206,176993,544,18614,841
1226,162595,0,0,34397
1228,157394,29762,9031,805
1229,196992,0,0,0
1231,174933,0,0,0
1234,162559,0,0,34433
1244,196992,0,0,0
1246,180327,25386,0,0
1254,186237,0,0,10755
1256,57586,2713,131300,5393
1258,142698,152,32321,1814
1268,179681,14019,3083,209
1276,194964,0,0,2028
1291,192229,0,0,4763
1295,64383,0,0,132609
1301,195779,0,0,1726
1311,102026,5484,87987,1495
1318,147024,0,0,54072
1333,192965,0,0,4027
1345,151013,654,3341,19925
1348,44405,12146,139330,1111
1357,227882,5706,26510,3071
1359,150925,13190,31807,1070
1362,196402,0,0,590
1368,188083,7775,54,54
1370,176467,4127,15926,472
1385,177101,2227,8964,8700
1387,196992,0,0,0
1401,196962,0,0,30
1404,187805,8807,161,219
1406,196992,0,0,0
1417,167993,15405,11567,2027
1426,189101,82,5843,1966
1432,196992,0,0,0
1439,186751,878,4346,5017
1443,34142,69736,88194,4920
1446,184167,0,0,0
1447,122420,2430,61890,10252
