,TN,FP,TP,FN
8,174932,0,0,1
11,182088,328,12525,2051
12,72592,3509,97162,2183
38,162564,1063,52492,9601
52,174933,0,0,0
62,170126,0,0,190
73,192856,901,2985,250
93,73511,1852,117430,4712
110,79963,2016,73224,10496
120,196992,0,0,0
127,66356,518,132405,35162
139,173638,0,0,1295
164,160817,8473,0,0
178,177950,326,16864,1852
217,179268,292,15241,2191
220,128831,1631,27947,7803
274,170667,3728,25,0
281,148204,43,22818,3868
289,143576,4814,44085,4517
317,156764,1020,35574,3634
321,193274,440,2484,794
323,170498,254,12227,1701
371,114505,461,80220,1806
439,159477,214,33056,4245
515,84799,7743,102639,1811
525,30417,1234,137532,5750
526,145540,843,45273,5336
555,196891,0,0,101
557,90137,6201,96283,4371
574,169738,35,21284,5935
585,126839,1136,43948,3010
586,169950,183,24945,1914
589,178920,603,16271,1198
593,165116,222,25609,6045
604,168244,20,5255,1414
621,196930,0,0,62
650,111330,440,61247,39365
652,161343,9849,21083,4717
674,166280,317,28230,5243
684,50753,16361,72691,35128
686,79793,177,92733,6847
743,182451,25,10998,3518
748,142340,404,28645,4057
749,129411,4036,50779,12766
752,196992,0,0,0
753,180987,210,13208,2587
756,75419,137,110139,11297
777,148502,866,21884,3168
787,182832,35,10774,3351
808,52505,612,108139,13677
840,112311,232,58422,3968
844,177179,407,14671,4735
855,83243,591,81490,10122
872,196992,0,0,0
962,126314,779,57357,12542
985,147289,468,46514,2721
991,40249,355,97530,37312
992,134165,177,35502,5089
1021,205805,0,0,421
1031,146156,1115,41596,8638
1036,174933,0,0,0
1068,101026,6070,85696,4200
1082,195778,404,452,358
1083,167551,3698,12080,2377
1098,182065,20,8502,6405
1102,124826,4486,42278,11038
1157,87052,7521,101152,1267
1176,167239,38,25233,4482
1183,153177,157,35868,7790
1204,135124,9029,0,0
1245,194629,414,1274,675
1287,103801,2172,30656,7011
1288,116659,410,57371,12292
1313,195442,0,0,1550
1314,168776,938,23954,4863
1322,211884,41924,7729,1632
1325,85320,496,67181,7572
1342,194726,3008,283,1
1344,175475,212,16154,5151
1358,172357,114,19853,4668
1366,195982,19,5023,3663
1388,102848,0,0,94144
1427,147046,13,42669,7264
1435,181332,534,12820,2306
