,TN,FP,TP,FN
1,68737,1283,97061,8878
3,115663,1120,76365,3844
16,83103,5226,28956,3270
17,130799,1463,40063,3634
81,113998,3298,67990,11706
89,170597,2113,2684,52
114,111130,1956,81057,2849
119,127940,6519,50276,5075
126,147730,0,0,14
128,46824,174,39991,5351
132,131026,667,35579,7148
144,146630,268,46044,4050
149,124434,412,68235,3911
154,137139,4493,30913,3414
181,73676,500,93374,10461
182,78182,813,112530,5467
194,142477,0,0,137
215,104183,173,78517,14119
218,79565,536,97512,6554
228,196992,0,0,0
229,123006,1083,69440,3463
230,155673,1776,15130,2354
254,95489,2518,71963,5476
264,180434,175,14917,1466
295,196988,0,0,4
354,141423,67,51097,4405
443,126175,577,44162,2993
453,121762,991,51516,4255
495,174063,608,19860,2461
500,95832,1604,80221,5484
508,108454,650,57683,1990
541,152105,1901,37213,5773
555,196992,0,0,0
556,122975,93,46960,5418
572,56069,7243,114525,19155
575,148071,568,46093,2260
579,140918,256,31641,1605
618,88275,760,68014,14293
636,185850,1370,8519,1253
673,174940,129,19148,2775
679,140274,90,44461,2420
691,134624,74,12403,3721
711,177380,151,15791,4696
714,110497,2513,59434,2489
755,135452,1097,35525,2346
759,137965,835,32872,3261
761,102208,637,66993,3556
779,102880,2640,66958,2455
788,118293,987,71629,6083
798,84302,3988,35827,3620
803,151046,1289,43503,1154
813,145641,1522,47337,2492
822,132349,495,34287,7289
824,123350,1572,46276,3735
826,156978,0,0,0
830,140426,7240,41135,2035
866,168573,683,20272,3360
882,116395,83,66455,14059
902,186172,232,16604,6296
907,148833,7714,16565,1821
925,108706,4050,79677,4559
932,110151,1617,59655,3510
961,175446,0,0,0
978,74042,1144,96257,4003
1002,173551,1230,10764,1187
1005,174243,2244,18082,2423
1033,184415,103,11351,1123
1043,152850,270,40582,3290
1079,138131,2637,50093,6131
1104,190836,0,0,0
1120,160868,580,34159,1385
1127,191043,511,1231,4207
1132,154926,0,0,0
1142,171238,5,21231,4518
1150,112317,38707,17192,4152
1193,0,0,190695,6297
1194,143917,2615,23197,587
1196,143640,0,0,0
1233,174702,166,18597,3527
1237,164907,527,25422,6136
1241,153452,1799,39086,2655
1250,167613,356,5141,1823
1266,101380,496,66841,5703
1267,186782,7182,2485,543
1271,196479,0,0,0
1284,117943,13,51136,5841
1315,159438,2868,29942,4744
1319,172566,350,1500,517
1328,150417,765,42945,2865
1351,109376,82,55218,8718
1392,73430,4078,93123,5328
1403,174551,42,17692,4707
1409,164130,6,12448,1940
1414,196992,0,0,0
1415,174933,0,0,0
1442,103094,1653,78505,13740
1444,35672,2,148799,25857
