,TN,FP,TP,FN
1,72318,6214,92130,5297
3,113680,610,76875,5827
16,84963,2920,31262,1410
17,132718,1301,40225,1715
81,115475,2658,68630,10229
89,169467,165,4632,1182
114,111035,1325,81688,2944
119,129625,3156,53639,3390
126,147744,0,0,0
128,47336,57,40108,4839
132,131931,505,35741,6243
144,147330,146,46166,3350
149,125931,333,68314,2414
154,133952,502,34904,6601
181,71473,155,93719,12664
182,80172,1161,112182,3477
194,142614,0,0,0
215,104221,45,78645,14081
218,79858,304,97744,6261
228,196197,0,0,795
229,121372,471,70052,5097
230,156528,281,16625,1499
254,95214,2077,72404,5751
264,180025,30,15062,1875
295,196992,0,0,0
354,142366,61,51103,3462
443,127948,404,44335,1220
453,124058,885,51622,1959
495,175335,1094,19374,1189
500,94695,150,81675,6621
508,108165,199,58134,2279
541,155303,355,38759,2575
555,196992,0,0,0
556,124129,24,47029,4264
572,67460,434,121334,7764
575,147455,194,46467,2876
579,140392,40,31857,2131
618,93518,595,68179,9050
636,184768,22,9867,2335
673,175278,19,19258,2437
679,140286,24,44527,2408
691,133538,53,12424,4807
711,177808,20,15922,4268
714,109311,1277,60670,3675
755,134505,282,36340,3293
759,137086,284,33423,4140
761,100919,58,67572,4845
779,101872,1143,68455,3463
788,118841,253,72363,5535
798,83863,437,39378,4059
803,150830,868,43924,1370
813,146333,183,48676,1800
822,119862,375,34407,19776
824,122147,263,47585,4938
826,113165,0,0,43813
830,140336,1328,47047,2125
866,169314,184,20771,2619
882,120669,31,66507,9785
902,183661,34,16802,8807
907,148104,6173,18106,2550
925,74430,0,83727,38835
932,106440,154,61118,7221
961,175446,0,0,0
978,71443,1784,95617,6602
1002,172920,1474,10520,1818
1005,174140,398,19928,2526
1033,183960,11,11443,1578
1043,152292,37,40815,3848
1079,131654,60,52670,12608
1104,190836,0,0,0
1120,160795,891,33848,1458
1127,195024,737,1005,226
1132,154926,0,0,0
1142,173099,38,21198,2657
1150,110574,2205,53694,5895
1193,602,3,190692,5695
1194,143740,1065,24747,764
1196,137222,0,0,6418
1233,174311,211,18552,3918
1237,165793,191,25758,5250
1241,155436,8407,32478,671
1250,167626,472,5025,1810
1266,104159,1313,66024,2924
1267,184538,274,9393,2787
1271,196479,0,0,0
1284,120193,33,51116,3591
1315,161582,4073,28737,2600
1319,172859,458,1392,224
1328,149941,241,43469,3341
1351,109455,59,55241,8639
1392,72454,2096,95105,6304
1403,176783,79,17655,2475
1409,165388,238,12216,682
1414,196992,0,0,0
1415,174933,0,0,0
1442,101364,446,79712,15470
1444,40819,6,148795,20710
