,TN,FP,TP,FN
5,107800,307,53706,12607
20,148417,94,45450,3031
30,133489,631,46870,4716
52,167007,1995,3729,2202
57,253395,767,7183,1824
83,124383,3050,67599,6577
87,153232,745,35291,7724
101,187778,0,0,493
119,189810,0,0,0
124,189836,2338,3926,892
139,174835,0,0,98
160,192116,13,4448,415
161,194791,36,1493,672
176,94873,8480,54588,16992
193,183068,39,12383,1502
214,124768,131,59075,13018
219,166056,1104,1082,22
228,173440,937,16857,5758
243,86081,702,104681,5528
280,174933,0,0,0
293,165793,2078,21288,7833
353,143630,0,0,10
433,150110,76,14567,2998
503,102226,830,81866,12070
510,164783,31563,646,0
520,93477,341,97827,5347
543,137960,0,35044,6033
568,123053,1623,66131,6185
581,158380,326,36047,2239
593,196974,0,0,18
598,190529,8,5305,1150
605,149621,8,38383,8980
610,155258,20,36986,4728
639,159090,9,15120,714
674,180058,0,0,20012
676,164561,138,26967,5326
695,155277,105,36492,5118
698,196479,0,0,0
719,144296,1637,36948,13598
730,167238,0,0,0
732,138807,109,67938,12710
741,153419,153,101798,7799
745,179118,1208,14242,2424
849,152013,406,39013,5560
872,195207,22,1526,237
923,193823,0,2105,551
954,183944,256,3228,2382
993,171421,116,21143,4312
1001,155495,217,20116,3209
1010,156666,15,35095,5216
1022,155657,43,31113,10179
1025,157518,191,34177,5106
1026,196992,0,0,0
1027,126767,350,64951,4924
1051,80603,1088,80328,12914
1060,161310,68,29601,6013
1098,196968,0,0,24
1123,120660,249,50536,6053
1154,132859,901,55956,7276
1203,193502,3490,0,0
1218,167238,0,0,0
1234,196895,0,0,97
1236,97782,1602,72862,2174
1239,131334,177,36330,5553
1245,196963,0,0,29
1248,170937,24,2361,1098
1275,189117,38,5094,2230
1313,193270,1256,1390,1076
1334,177829,226,34100,5357
1388,67712,271,109071,19938
1418,172467,201,910,842
1429,193207,0,0,3785
