,TN,FP,TP,FN
33,196992,0,0,0
34,147948,237,41600,7207
52,173717,1026,11,179
59,132191,1295,61456,2050
62,170316,0,0,0
69,183247,170,13155,420
82,158964,1749,32584,3695
92,123653,1316,68093,3930
100,196992,0,0,0
101,177138,547,10027,559
108,131274,31,36368,7260
113,175783,617,19626,966
120,196992,0,0,0
124,196992,0,0,0
130,192877,173,3053,889
136,170762,540,21216,4474
137,174420,0,0,0
139,160014,256,12487,2176
153,150505,7,22586,1835
165,103040,673,66856,4364
183,95201,512,72010,7210
201,144766,219,47126,4881
208,186888,56,8538,1510
237,114776,13,23460,2826
240,196992,0,0,0
257,177498,0,0,0
259,196479,0,0,513
261,134740,143,36587,3463
263,158382,651,36925,1034
266,160439,65,19369,3781
274,171559,0,0,2861
280,91092,13,75144,8684
282,176470,109,57960,6571
285,179944,171,12029,4848
286,196992,0,0,0
295,184703,326,9624,2339
303,105923,1383,79662,790
304,160521,1387,31048,4036
323,184680,0,0,0
325,175908,102,18223,2759
336,151013,1506,20335,2079
338,158420,16,15631,1379
353,143640,0,0,0
355,167001,68,25813,4110
369,158114,32,15493,2833
372,132931,172,61002,2887
377,179196,70,16923,803
383,196992,0,0,0
389,163384,266,32371,971
393,176499,191,18538,1764
396,196992,0,0,0
410,98759,319,72337,3518
418,159965,371,31246,5410
427,175446,0,0,0
433,158438,11,7666,1636
441,138848,2420,52102,3622
444,159076,122,35496,2298
446,145325,159,27474,1975
448,188927,266,7314,485
460,126846,76,66713,3357
471,185943,804,8839,1406
473,140207,778,30600,3348
510,196992,0,0,0
528,178905,1099,16372,4720
533,196992,0,0,0
559,122855,2666,44450,4962
578,132240,2221,22002,4106
583,179614,384,16142,852
588,174933,0,0,0
595,170440,147,22067,4338
599,196992,0,0,0
601,159797,143,33010,4042
620,183654,0,0,0
635,174420,0,0,0
647,168382,31,5011,1509
681,196992,0,0,0
689,14989,586,156125,3233
693,156826,26,15781,2300
697,180157,30,14168,2637
698,196479,0,0,0
699,194375,69,1985,563
702,211356,0,0,0
720,109354,13,63998,2081
728,151859,87,40496,4550
742,133359,382,36505,4687
750,146078,2002,44782,4130
752,196992,0,0,0
765,194019,2258,715,0
771,198591,20,15970,2418
776,138697,60,24479,4002
782,196992,0,0,0
809,179373,3,14480,3136
817,152452,785,39308,4447
819,94331,2834,74276,3492
832,140605,261,50549,5577
843,196991,0,0,1
853,113972,522,79685,2813
858,128183,864,62217,5728
865,180983,3840,20808,1621
870,169865,0,3527,1541
889,123143,19,48409,3875
894,185037,44,9812,2099
896,159375,146,13201,2211
919,155602,117,17037,1664
937,184296,359,11422,915
943,134629,1928,36688,1688
944,16641,1386,152756,4150
945,196987,0,0,5
948,131813,126,37578,5929
960,109828,647,78762,7755
971,184619,331,11057,985
979,156383,212,36663,3734
983,74498,2596,130825,2411
1003,98957,2078,90205,5752
1004,196582,0,0,410
1011,92164,839,101247,2742
1018,75335,490,123658,14951
1021,206226,0,0,0
1026,193354,10,2113,1515
1036,172054,110,2011,758
1041,166756,126,27133,2977
1044,98812,437,85069,4466
1059,125182,5,66525,5280
1072,69120,77,125830,1965
1083,185706,0,0,0
1093,122695,0,48274,3964
1099,112648,705,81195,2444
1119,148914,607,57236,2034
1129,97636,39,90590,8727
1135,196992,0,0,0
1146,174933,0,0,0
1151,162155,124,9676,2978
1171,176480,6724,77136,2829
1175,187871,733,7853,535
1180,191862,0,0,0
1184,189349,463,6322,858
1202,75122,232,141046,6755
1204,144153,0,0,0
1208,118110,115,74922,3845
1209,189437,57,2228,1166
1218,167238,0,0,0
1226,178983,189,15625,2195
1230,105584,1613,65516,2733
1232,209288,0,0,16
1234,196992,0,0,0
1246,183470,1849,18127,2267
1247,116192,108,52788,5845
1252,165929,149,27554,3360
1257,191349,0,0,0
1286,162960,413,29642,3977
1287,143640,0,0,0
1296,175446,0,0,0
1312,174677,21,19894,2400
1322,263169,0,0,0
1327,149601,418,6057,902
1336,196907,0,0,85
1345,174933,0,0,0
1349,174933,0,0,0
1354,129546,445,61555,5446
1360,172774,86,22075,2057
1363,94809,46,43188,36890
1370,194226,64,2282,420
1372,110783,207,61500,2443
1375,144867,169,48460,3496
1378,158163,439,91965,6446
1382,153619,1138,40087,2148
1383,133806,67,37493,3054
1384,58644,487,135824,2037
1387,149856,55,41389,5692
1393,94264,322,97000,5406
1395,158733,18,31201,7040
1402,155206,43,27231,4252
1413,67820,1023,140011,3528
1422,196992,0,0,0
1429,196992,0,0,0
1443,196992,0,0,0
1447,169510,215,23594,3673
