,TN,FP,TP,FN
1,71559,1024,97320,6056
3,113954,676,76809,5553
16,85542,5368,28814,831
17,133251,1358,40168,1182
81,118017,4739,66549,7687
89,169551,108,4689,1098
114,111111,1190,81823,2868
119,130095,3072,53723,2920
126,147744,0,0,0
128,47647,146,40019,4528
132,132874,614,35632,5300
144,147423,14,46298,3257
149,125342,224,68423,3003
154,134691,839,34567,5862
181,72249,72,93802,11888
182,80572,1033,112310,3077
194,142614,0,0,0
215,106129,153,78537,12173
218,80850,44,98004,5269
228,196992,0,0,0
229,122642,675,69848,3827
230,156085,133,16773,1942
254,95963,2288,72193,5002
264,180023,21,15071,1877
295,196992,0,0,0
354,142933,47,51117,2895
443,127829,334,44405,1339
453,124640,1504,51003,1377
495,175576,1192,19276,948
500,95064,82,81743,6252
508,108428,375,57958,2016
541,155610,408,38706,2268
555,196992,0,0,0
556,125110,140,46913,3283
572,66268,1307,120461,8956
575,148042,231,46430,2289
579,140648,11,31886,1875
618,93303,382,68392,9265
636,184927,40,9849,2176
673,175394,25,19252,2321
679,140288,7,44544,2406
691,136180,107,12370,2165
711,178996,42,15900,3080
714,110034,1284,60663,2952
755,134889,328,36294,2909
759,137690,310,33397,3536
761,101583,70,67560,4181
779,103443,1381,68217,1892
788,118566,156,72460,5810
798,83383,93,39722,4539
803,150952,858,43934,1248
813,146381,134,48725,1752
822,122673,421,34361,16965
824,122957,436,47412,4128
826,156978,0,0,0
830,140852,985,47390,1609
866,169283,145,20810,2650
882,122281,102,66436,8173
902,184966,65,16771,7502
907,147703,3173,21106,2951
925,99733,0,83727,13532
932,109174,203,61069,4487
961,175446,0,0,0
978,76344,1876,95525,1701
1002,174187,1097,10897,551
1005,174054,262,20064,2612
1033,184350,325,11129,1188
1043,152356,52,40800,3784
1079,138376,931,51799,5886
1104,190836,0,0,0
1120,161029,1005,33734,1224
1127,194812,545,1197,438
1132,154926,0,0,0
1142,173229,38,21198,2527
1150,112208,575,55324,4261
1193,0,0,190695,6297
1194,143758,870,24942,746
1196,143640,0,0,0
1233,174455,166,18597,3774
1237,166508,247,25702,4535
1241,155168,1603,39282,939
1250,167535,452,5045,1901
1266,103771,435,66902,3312
1267,184866,278,9389,2459
1271,196479,0,0,0
1284,120507,41,51108,3277
1315,160884,1652,31158,3298
1319,172785,381,1469,298
1328,150089,300,43410,3193
1351,110365,43,55257,7729
1392,71780,232,96969,6978
1403,176953,109,17625,2305
1409,165398,320,12134,672
1414,196992,0,0,0
1415,174933,0,0,0
1442,102897,531,79627,13937
1444,40019,35,148766,21510
