,TN,FP,TP,FN
8,174933,0,0,0
10,194110,2359,438,85
18,196601,391,0,0
25,159581,943,12096,2313
26,185175,2214,7064,2539
28,196924,0,0,68
33,189792,0,0,7200
35,195915,0,0,1077
45,190158,119,3344,3371
49,228285,0,0,0
50,218025,0,0,0
54,179879,201,6306,10606
55,172540,602,31,1760
56,202962,1115,6382,1923
65,196992,0,0,0
76,195081,0,0,1911
77,195902,0,0,1090
79,219051,0,0,0
85,194012,0,0,2980
94,187366,1215,7417,994
100,194036,0,0,2956
106,196855,0,0,137
117,196992,0,0,0
125,196893,0,0,99
141,192360,64,3919,649
146,179497,178,16189,1128
147,111932,1206,40047,21748
150,159104,1666,31676,4546
155,189497,901,3626,2968
186,196633,0,0,359
187,175959,0,0,0
189,146907,1053,34015,15017
191,196428,0,0,564
195,196194,0,0,285
199,238302,1956,5542,4544
202,162405,441,25347,8799
205,144543,644,49859,1946
211,154621,52,36014,1688
222,214434,0,0,0
224,194847,0,0,1632
227,192969,0,0,4023
232,189846,331,1938,4877
240,193640,69,2886,397
245,186400,0,0,332
248,193845,137,708,2302
249,193048,0,0,3944
253,147306,0,0,438
255,156149,3630,3674,11480
258,170829,3579,19134,3450
259,163672,982,25747,6591
265,196992,0,0,0
268,187229,329,7799,1635
276,173907,0,0,0
278,164250,320,9688,2214
284,185391,2693,6758,2150
285,188118,1971,5185,1718
291,193514,400,0,0
298,216685,2300,28218,15966
302,191466,1189,2595,1742
304,196992,0,0,0
306,196992,0,0,0
307,196775,0,0,217
310,192786,0,0,4206
326,166305,333,48895,1979
329,177995,274,8644,845
346,196992,0,0,0
350,174275,0,0,658
351,174933,0,0,0
358,127888,158,39959,6928
361,197505,0,0,0
362,196961,0,0,31
368,196992,0,0,0
369,176004,468,0,0
379,196992,0,0,0
387,196992,0,0,0
392,69025,1063,65950,10167
394,172270,0,0,2663
396,196967,0,0,25
405,196992,0,0,0
406,156639,791,10690,6813
424,191146,2390,3264,192
432,192800,128,2121,1943
438,196969,0,0,23
449,196992,0,0,0
459,191798,0,0,5194
468,176411,13,14374,6194
476,174933,0,0,0
480,154520,1078,13897,5438
484,253830,0,0,1644
493,178011,0,0,0
506,196992,0,0,0
507,158004,0,0,0
509,141369,151,54069,890
517,174933,0,0,0
524,196479,0,0,0
528,199252,0,0,1844
538,196992,0,0,0
539,194242,1985,571,194
554,165456,1877,20526,9133
558,196864,0,0,128
559,163269,0,0,11664
561,196992,0,0,0
573,174699,0,0,234
587,183281,603,6447,6661
591,142277,201,47917,6597
595,167964,3164,14798,11066
597,166395,272,4411,3855
602,174102,50,20589,2251
606,167180,7315,5055,0
611,191877,3570,1825,746
623,196432,0,0,1586
624,194509,373,1084,1026
643,195205,100,655,1032
645,174933,0,0,0
646,174933,0,0,0
651,196992,0,0,0
658,172270,2636,27,0
660,225581,0,0,139
669,196992,0,0,0
702,211356,0,0,0
710,136019,585,32803,5526
727,175956,0,0,3
733,197530,5426,12461,2608
746,196992,0,0,0
754,164626,0,0,47
765,179999,9802,4458,2733
769,196992,0,0,0
770,110329,77,64650,21936
772,158683,835,6928,8487
780,148659,3381,12030,11376
782,196992,0,0,0
792,174933,0,0,0
795,196992,0,0,0
798,127737,0,0,0
811,150662,164,21626,2481
814,194493,816,1119,564
